epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.38267,1.40089,3.66513,1.36178,0.01643,0.14286,0.13199,0.103,1.17249,3.91709,1.18266,0.00029088,0.00029088,0.00029088
2,12.0632,1.24974,2.16878,1.27197,0.98503,0.12413,0.13493,0.10987,1.16519,3.17204,1.19629,0.000574282,0.000574282,0.000574282
3,16.1332,1.14722,1.93946,1.24571,0.98377,0.13222,0.19196,0.14004,1.101,2.60501,1.18889,0.000837686,0.000837686,0.000837686
4,20.1351,1.21682,1.78865,1.2672,0.83662,0.26667,0.4296,0.25303,0.99144,2.1739,1.13657,0.000819009,0.000819009,0.000819009
5,24.771,1.15434,1.68502,1.20965,0.70745,0.37741,0.44252,0.27983,0.99296,2.14128,1.10523,0.000789012,0.000789012,0.000789012
6,30.0377,1.11625,1.64638,1.17657,0.67048,0.50211,0.47112,0.30004,1.02699,1.6555,1.13447,0.000759015,0.000759015,0.000759015
7,33.954,1.10514,1.59683,1.19492,0.64531,0.41497,0.46976,0.29512,1.0177,1.77205,1.11417,0.000729018,0.000729018,0.000729018
8,37.6372,1.10147,1.51684,1.17673,0.77797,0.48882,0.47597,0.29488,1.03912,1.74075,1.13531,0.000699021,0.000699021,0.000699021
9,43.4145,1.10931,1.47544,1.17977,0.70006,0.47902,0.47924,0.31749,0.99889,1.60585,1.11201,0.000669024,0.000669024,0.000669024
10,47.2744,1.10928,1.44979,1.17623,0.64837,0.54048,0.4891,0.29164,0.9946,1.63309,1.09215,0.000639027,0.000639027,0.000639027
11,51.1031,1.0576,1.42361,1.16236,0.63189,0.62949,0.49403,0.29788,0.98865,1.54864,1.09558,0.00060903,0.00060903,0.00060903
12,56.4622,1.02364,1.33831,1.12273,0.70093,0.57369,0.51996,0.3048,0.99487,1.4485,1.08391,0.000579033,0.000579033,0.000579033
13,61.0112,1.02751,1.33674,1.15481,0.68369,0.60666,0.52437,0.30844,1.01097,1.43136,1.07821,0.000549036,0.000549036,0.000549036
14,64.7802,0.99451,1.29961,1.10244,0.71668,0.54082,0.50648,0.32171,0.99285,1.44975,1.07352,0.000519039,0.000519039,0.000519039
15,68.5805,1.00522,1.26117,1.09523,0.72569,0.51701,0.49482,0.31746,0.96732,1.45907,1.06013,0.000489042,0.000489042,0.000489042
16,74.3206,0.96293,1.2113,1.09592,0.68268,0.67337,0.51754,0.33414,0.93247,1.35163,1.03947,0.000459045,0.000459045,0.000459045
17,78.1761,0.94629,1.21553,1.08868,0.6797,0.62755,0.50951,0.33692,0.9647,1.37419,1.05512,0.000429048,0.000429048,0.000429048
18,81.9575,0.91804,1.17351,1.11572,0.67311,0.60204,0.51872,0.35328,0.95118,1.34998,1.06576,0.000399051,0.000399051,0.000399051
19,89.0932,0.93855,1.1743,1.08687,0.77024,0.51808,0.54213,0.34397,0.96003,1.32284,1.05549,0.000369054,0.000369054,0.000369054
20,93.494,0.93517,1.1801,1.10263,0.74988,0.47717,0.54492,0.35746,0.91499,1.24606,1.02695,0.000339057,0.000339057,0.000339057
21,98.3842,0.92021,1.34056,1.10366,0.64963,0.64525,0.52495,0.34999,0.93932,1.29664,1.07496,0.00030906,0.00030906,0.00030906
22,104.597,0.9033,1.33562,1.10871,0.73539,0.51288,0.55572,0.35226,0.93636,1.30673,1.03472,0.000279063,0.000279063,0.000279063
23,108.196,0.91841,1.29812,1.11055,0.75456,0.55551,0.5424,0.34358,0.91378,1.23593,1.02231,0.000249066,0.000249066,0.000249066
24,111.832,0.88097,1.2214,1.07546,0.71546,0.58333,0.54518,0.34904,0.89498,1.22101,1.02493,0.000219069,0.000219069,0.000219069
25,116.29,0.87353,1.19787,1.07898,0.68353,0.60177,0.51635,0.34991,0.90131,1.19541,1.03192,0.000189072,0.000189072,0.000189072
26,121.23,0.85656,1.18997,1.06435,0.73397,0.59694,0.53689,0.35543,0.91038,1.19367,1.04058,0.000159075,0.000159075,0.000159075
27,124.898,0.85209,1.18209,1.0499,0.71287,0.57143,0.52951,0.3498,0.9116,1.21153,1.03839,0.000129078,0.000129078,0.000129078
28,128.411,0.84338,1.15524,1.08225,0.70109,0.61735,0.52222,0.34144,0.91082,1.19212,1.03413,9.9081e-05,9.9081e-05,9.9081e-05
29,133.404,0.84615,1.14643,1.0622,0.67629,0.59941,0.52166,0.34292,0.90534,1.18471,1.03232,6.9084e-05,6.9084e-05,6.9084e-05
30,137.6,0.84315,1.10791,1.05863,0.68994,0.58324,0.52127,0.34674,0.90085,1.18598,1.02971,3.9087e-05,3.9087e-05,3.9087e-05
